"number","CODE_POSTAL"
2010,"69002"
5015,"69005"
32001,"69270"
6004,"69006"
7035,"69007"
10120,"69100"
5016,"69005"
9013,"69009"
10028,"69100"
6041,"69300"
10011,"69100"
15002,"69800"
10005,"69100"
4012,"69004"
11004,"69300"
16002,"69200"
3009,"69003"
10122,"69100"
16001,"69200"
7038,"69007"
10091,"69100"
2021,"69002"
4025,"69004"
10113,"69100"
4023,"69004"
3066,"69003"
10111,"69006"
5040,"69005"
7008,"69007"
7024,"69007"
2023,"69002"
8029,"69008"
4004,"69004"
8061,"69008"
1023,"69001"
7003,"69007"
7030,"69007"
6042,"69006"
2013,"69002"
3086,"69003"
8025,"69008"
3050,"69003"
8056,"69008"
10119,"69100"
7053,"69007"
3012,"69003"
4009,"69004"
10089,"69100"
1031,"69001"
3037,"69003"
8035,"69008"
5045,"69005"
13001,"69150"
6035,"69006"
1036,"69004"
6022,"69006"
9020,"69009"
2027,"69002"
2016,"69002"
3080,"69003"
5029,"69005"
2004,"69002"
14001,"69500"
7009,"69007"
7045,"69007"
3101,"69003"
4021,"69004"
3103,"69003"
6031,"69006"
9049,"69009"
3017,"69003"
9009,"69009"
10021,"69100"
7023,"69007"
6044,"69006"
3008,"69003"
3040,"69003"
8042,"69008"
9044,"69009"
28001,"69270"
10075,"69100"
4006,"69004"
6017,"69006"
2036,"69002"
6002,"69006"
6032,"69006"
8055,"69008"
10016,"69100"
7033,"69007"
7041,"69007"
3090,"69500"
8008,"69008"
3071,"69003"
5006,"69005"
10014,"69100"
10004,"69100"
1013,"69001"
26001,"69370"
9010,"69009"
6028,"69006"
10034,"69100"
3058,"69003"
6045,"69006"
5047,"69005"
8053,"69008"
9008,"69009"
9046,"69009"
4042,"69004"
10053,"69100"
6039,"69006"
10110,"69100"
6021,"69006"
5053,"69005"
8058,"69008"
2037,"69002"
14004,"69500"
2026,"69002"
22001,"69110"
9003,"69009"
2038,"69002"
8054,"69008"
7039,"69007"
2012,"69002"
7006,"69007"
8023,"69008"
8011,"69008"
1006,"69001"
4002,"69004"
20003,"69600"
3081,"69003"
4007,"69004"
30002,"69140"
3011,"69003"
10092,"69100"
10024,"69100"
1034,"69001"
3013,"69003"
10008,"69100"
3083,"69003"
6024,"69006"
8006,"69008"
23001,"69160"
9052,"69009"
12002,"69100"
6033,"69006"
10012,"69100"
10123,"69100"
4022,"69004"
10047,"69100"
7021,"69007"
3004,"69003"
3016,"69003"
2003,"69002"
7017,"69007"
19001,"69230"
6003,"69006"
7015,"69007"
8024,"69008"
7026,"69007"
24001,"69130"
7007,"69007"
8038,"69008"
10072,"69100"
18001,"69310"
6020,"69006"
12001,"69100"
10055,"69100"
6025,"69006"
3094,"69003"
5044,"69005"
3069,"69003"
10006,"69100"
9011,"69009"
21001,"69350"
9015,"69009"
6012,"69006"
8009,"69008"
3036,"69003"
10073,"69100"
2035,"69002"
9014,"69009"
3097,"69003"
3035,"69003"
9022,"69009"
3138,"69003"
10112,"69003"
4024,"69004"
15001,"69800"
8041,"69008"
2008,"69002"
7019,"69007"
1005,"69001"
6040,"69006"
10044,"69100"
2022,"69002"
4014,"69004"
7036,"69007"
9029,"69009"
3099,"69003"
8001,"69008"
3005,"69003"
555,"69100"
8033,"69008"
10058,"69100"
8010,"69008"
3067,"69003"
7055,"69007"
17002,"69190"
5002,"69005"
10084,"69100"
9042,"69009"
7013,"69007"
14003,"69500"
11003,"69300"
3039,"69003"
10023,"69100"
3053,"69003"
2040,"69002"
20002,"69600"
2024,"69002"
1035,"69001"
2014,"69002"
6037,"69006"
10083,"69100"
2017,"69002"
8057,"69008"
3051,"69003"
7014,"69007"
8007,"69008"
9006,"69009"
10032,"69100"
8021,"69008"
2001,"69002"
2028,"69002"
2006,"69002"
3021,"69003"
8059,"69008"
1003,"69001"
2009,"69002"
2011,"69002"
1001,"69001"
1016,"69001"
7056,"69007"
10103,"69100"
10080,"69100"
5032,"69005"
3070,"69003"
10074,"69100"
8015,"69008"
3089,"69003"
5055,"69005"
10048,"69100"
10115,"69100"
10045,"69100"
3085,"69003"
3024,"69003"
2041,"69002"
10086,"69100"
7011,"69007"
10117,"69100"
9041,"69009"
9043,"69009"
3091,"69500"
1024,"69001"
10035,"69100"
5005,"69005"
4041,"69004"
6043,"69006"
3088,"69003"
10059,"69100"
8040,"69008"
9040,"69009"
6016,"69006"
6008,"69006"
2019,"69002"
5004,"69005"
10030,"69100"
10118,"69100"
8060,"69008"
1022,"69001"
3031,"69003"
10001,"69100"
3043,"69003"
6001,"69006"
20001,"69600"
10114,"69100"
4008,"69004"
10071,"69100"
10038,"69100"
10060,"69100"
4005,"69004"
7031,"69007"
9050,"69009"
10087,"69100"
4026,"69004"
10041,"69100"
2020,"69002"
17003,"69190"
4001,"69001"
10043,"69100"
5007,"69005"
